player_id,first_name,last_name,catches,height_in,weight_lbs,birth_date,birth_country,season,game_id,date,team,opponent,is_home,toi,games_started,decision,shots_against,goals_against,saves,save_pct,shutouts,goals,assists,pim
8470594,Marc-Andre,Fleury,L,74,185,1984-11-28,CAN,20192020,2019020004,2019-10-02,VGK,SJS,True,59.86666666666667,1,W,22,1,21,0.954545,0,0,0,0
8470594,Marc-Andre,Fleury,L,74,185,1984-11-28,CAN,20192020,2019020017,2019-10-04,VGK,SJS,False,60.0,1,W,35,1,34,0.971429,0,0,0,0
8470594,Marc-Andre,Fleury,L,74,185,1984-11-28,CAN,20192020,2019020043,2019-10-08,VGK,BOS,True,58.28333333333333,1,L,35,4,31,0.885714,0,0,0,0
8470594,Marc-Andre,Fleury,L,74,185,1984-11-28,CAN,20192020,2019020057,2019-10-10,VGK,ARI,False,40.0,0,,15,2,13,0.866667,0,0,0,0
8470594,Marc-Andre,Fleury,L,74,185,1984-11-28,CAN,20192020,2019020074,2019-10-12,VGK,CGY,True,60.0,1,W,35,2,33,0.942857,0,0,0,0
8470594,Marc-Andre,Fleury,L,74,185,1984-11-28,CAN,20192020,2019020076,2019-10-13,VGK,LAK,False,60.0,1,W,38,2,36,0.947368,0,0,0,0
8470594,Marc-Andre,Fleury,L,74,185,1984-11-28,CAN,20192020,2019020090,2019-10-15,VGK,NSH,True,60.0,1,L,39,5,34,0.871795,0,0,0,0
8470594,Marc-Andre,Fleury,L,74,185,1984-11-28,CAN,20192020,2019020105,2019-10-17,VGK,OTT,True,65.0,1,W,39,2,37,0.948718,0,0,0,2
8470594,Marc-Andre,Fleury,L,74,185,1984-11-28,CAN,20192020,2019020118,2019-10-19,VGK,PIT,False,59.583333333333336,1,W,29,0,29,1.0,1,0,0,0
8470594,Marc-Andre,Fleury,L,74,185,1984-11-28,CAN,20192020,2019020141,2019-10-22,VGK,CHI,False,64.65,1,W,32,1,31,0.96875,0,0,0,0
8470594,Marc-Andre,Fleury,L,74,185,1984-11-28,CAN,20192020,2019020155,2019-10-25,VGK,COL,True,32.6,1,L,26,4,22,0.846154,0,0,0,0
8470594,Marc-Andre,Fleury,L,74,185,1984-11-28,CAN,20192020,2019020176,2019-10-27,VGK,ANA,True,59.75,1,W,15,2,13,0.866667,0,0,0,0
8470594,Marc-Andre,Fleury,L,74,185,1984-11-28,CAN,20192020,2019020195,2019-10-31,VGK,MTL,True,60.416666666666664,1,O,29,5,24,0.827586,0,0,0,0
8470594,Marc-Andre,Fleury,L,74,185,1984-11-28,CAN,20192020,2019020227,2019-11-05,VGK,CBJ,False,60.0,1,W,30,1,29,0.966667,0,0,0,0
8470594,Marc-Andre,Fleury,L,74,185,1984-11-28,CAN,20192020,2019020258,2019-11-09,VGK,WSH,False,58.483333333333334,1,L,33,4,29,0.878788,0,0,0,0
